,Permutation,Gradient,Ablation,Average,SHAP,Average_with_SHAP
VPD,0.8935573231428862,1.0,0.835814183205366,0.909790502116084,1.0,0.932342876587063
Fire History,0.11339261531829836,0.6393300670097841,0.0016319453716278076,0.2514515425665701,0.32765965776800365,0.2705035713669285
DEM,-0.006316035985946655,0.8284743489414527,-0.004093813896179244,0.27268816635310894,0.10512792868915276,0.23079810693711988
Humidity,0.0,0.5208833954492369,0.0012877285480499268,0.17405704133242894,0.07455131975262436,0.1491806109374778
Dewpoint,0.0,0.4988357141898871,0.0012877285480499268,0.16670781424597902,0.0888516467800233,0.1472437723794901
Curvature,-0.0009344935417175959,0.5751777710668216,0.0012877285480499268,0.1918436686910513,0.0061954936074368125,0.14543162492014766
NDVI,0.0,0.44538984873705734,0.0012877285480499268,0.14889252576170242,0.11330638929086798,0.13999599164399382
Soil Moisture,-0.0035472750663757546,0.34994897411242254,-0.004093813896179244,0.11410262838328918,0.1286544428014675,0.11774058198783377
Wind V,-0.0022222220897675227,0.3847418611238692,-0.004911297559738181,0.12586944715812118,0.08419501970549712,0.11545084029496516
Solar Radiation,0.007142859697341852,0.3937190142990244,0.0012877285480499268,0.13404986751480538,0.030659001258966374,0.10820215095084564
Wind Direction,0.0,0.35082858686741314,-0.0026890754699707697,0.11604650379914745,0.05740962628654004,0.10138728442099561
Wind Speed,0.0,0.35886605558053775,0.0,0.11962201852684591,0.0005881409399561568,0.08986354913012348
Temperature,-0.004911297559738181,0.3119737134387858,-0.0022222220897675227,0.10161339792976004,0.036570796479568894,0.08535274756721226
LC Grassland,-0.0022222220897675227,0.3183313590747395,-0.0035472750663757546,0.10418728730619874,0.01964560198840138,0.08305186597674939
LAI,0.0,0.1993186299469079,-0.001325052976608343,0.06599785899009986,0.09873901764393603,0.0741831486535589
LC Shrubland,0.0012877285480499268,0.27040912916032506,0.0,0.090565619236125,0.011082351710619463,0.0706948023547486
Pressure,-0.0022222220897675227,0.2306605785048878,0.0,0.07614611880504009,0.02024952018159034,0.06217196914917766
LC Settlement,0.0,0.2133412252700288,0.0,0.07111374175667627,0.0032276169715328685,0.05414221056039042
Aspect,-0.0022222220897675227,0.19563772948992866,0.0,0.06447183580005371,0.01111302970301658,0.05113213427579443
Ignition Points,0.0,0.1889505633532346,-0.0022222220897675227,0.06224278042115569,0.009873930981529219,0.049150568061249074
Slope,0.0,0.17444224342450676,0.0,0.05814741447483559,0.009509593300393936,0.045987959181225176
Roads Distance,0.0,0.1755280735137872,0.0,0.058509357837929064,0.005299111886728672,0.04520679635012896
LC Forest,0.0,0.17978995641192402,0.0,0.05992998547064134,0.0009188789151326939,0.04517720883176418
Population,0.0,0.17074432979807344,0.0,0.056914776599357814,0.006903132632063645,0.044411865607534275
LC Agriculture,0.0,0.16073083785773998,0.0,0.053576945952579995,0.009670287546283594,0.042600281351005895
TRI,-0.0022222220897675227,0.16971105436089762,0.0,0.05582961075704337,0.0025772435327139887,0.04251651895096102
LST Day,0.0,0.159421823791159,-0.0022222220897675227,0.05239986723379716,0.007218677696719704,0.041104569849527796
Wind U,-0.0022222220897675227,0.15330447981788348,0.0,0.05036075257603865,0.009042411301889269,0.040031167257501304
LST Night,0.0,0.12644885637220044,0.0,0.04214961879073348,0.014521208572658196,0.03524251623621466
Precipitation,-0.0022222220897675227,0.13159082200983543,0.0,0.043122866640022635,0.011277814347892524,0.03516160356699011
